SARS	 coronaviruses	 Considering the great animal health and economic impact of IBV as well as the recent emergence of novel coronaviruses such as SARS-coronavirus, it is important to investigate the role of wildlife reservoirs in CoV infection biology and epidemiology.	 coronaviruses such as SARS	 causative_agent_of	no
HIV infections	 HIV	 Based on data from a representative sample of 128 public-funded HIV prevention programs of 14 types in Andhra Pradesh, we have recently reported the number of HIV infections averted by each type of HIV prevention intervention and their cost.	HIV infections  averted by each type of  HIV	 causative_agent_of	no
systemic lupus erythematosus	 CD	 Regulatory factor X-box 1 (RFX1) can interact with DNA methyltransferase 1 (DNMT1) and histone deacetylase 1 (HDAC1), and RFX1 down-regulation contributes to DNA hypomethylation and histone H3 hyperacetylation at the cluster of differentiation (CD) 11a and CD70 promoters in CD4+ T cells of patients with systemic lupus erythematosus (SLE).	 CD  11a and CD70 promoters in CD4+ T cells of patients with systemic lupus erythematosus	 	no_rel
schizophrenia	 chlorpromazine	 A plurality of patients with schizophrenia was treated with clozapine (39%); this was followed by risperidone, sulpride, chlorpromazine, perphenazine, and haloperidol.	schizophrenia  was treated with clozapine (39%); this was followed by risperidone, sulpride,  chlorpromazine	 may_treat	yes
Tularemia	 Francisella tularensis	 Tularemia, caused by the bacterium Francisella tularensis , where F. tularensis subspecies holarctica has long been the cause of endemic disease in parts of northern Sweden.	Tularemia , caused by the bacterium  Francisella tularensis	 causative_agent_of	no
alcohol	 hepatitis	 Cumulative survival and hepatocellular carcinoma (HCC) development rates were analyzed in alcohol abusive, cirrhotic patients with or without hepatitis virus infection.	alcohol  abusive, cirrhotic patients with or without  hepatitis	 	no_rel
HBV	 adefovir dipivoxil	 This study has established inverse correlation of the increase of Th1/Th2 immunity and the decline of HBV DNA load in chronic HBV patients during adefovir dipivoxil treatment.	HBV  DNA load in chronic HBV patients during  adefovir dipivoxil	 may_prevent	yes
TB	 BCG	 In this study, assessment of BCG-specific IgG-secreting peripheral plasmablasts, was used to identify active TB in these high-risk groups.	 BCG specific IgG-secreting peripheral plasmablasts, was used to identify active TB	 may_prevent	yes
speed	 ALS	 The study investigated the possibility of identifying the speed of an imagined movement from EEG recordings in amyotrophic lateral sclerosis (ALS) patients.	speed  of an imagined movement from EEG recordings in amyotrophic lateral sclerosis ( ALS	 	no_rel
CLL	 cladribine	 In this study, we attempted to assess simvastatin, widely used as a cholesterol-lowering drug, both as a single agent and in combination with purine analogs—fludarabine and cladribine—in terms of its effect on apoptosis and DNA damage of CLL cells.	 cladribine e—in terms of its effect on apoptosis and DNA damageCLL	 may_treat	yes
dengue shock syndrome	 Dengue virus	 Dengue virus, a mosquito-borne flavivirus, is the etiological agent of dengue fever, dengue hemorrhagic fever, and dengue shock syndrome.	 Dengue virus  a mosquito-borne flavivirus, is the etiological agent of dengue fever, dengue hemorrhagic fever, and dengue shock syndrome	 causative_agent_of	no
diabetes mellitus type 2	 insulin	 These effects were analyzed in individuals with non-insulin depended diabetes mellitus type 2 (NIDDM2) and impaired fasting glucose (IFG).	 insulin depended diabetes mellitus type 2	 may_treat	yes
antibodies	 metastases	 These findings suggest that PDE5 inhibitors may effectively modulate BTB permeability, and enhance delivery and therapeutic efficacy of monoclonal antibodies in hard-to-treat brain metastases from different primary tumors that had metastasized to the brain.	antibodies  in hard-to-treat brain  metastases	 	no_rel
Salmonella infection	 Salmonella	 plasma lipoproteins are a potent host defense mechanism against invasive Salmonella infection, by blocking adhesion of Salmonella to the host cells and subsequent tissue invasion.	Salmonella infection , by blocking adhesion of  Salmonella	 causative_agent_of	no
hypothyroidism	 TSH	 Patients with the syndrome of TSH unresponsiveness may have compensated or overt hypothyroidism with a wide spectrum of clinical and morphological alterations depending on the degree of impairment of TSH-receptor (TSH-R) function.	hypothyroidism  with a wide spectrum of clinical and morphological alterations depending on the degree of impairment of  TSH	 	no_rel
TB	 isoniazid	 This study is the first in the UAE to report such high levels of resistance to anti-TB drugs; 27.7% for anti-tuberculosis Drugs such as isoniazid and pyrazinamide are of great significance to achieve proper treatment in M. tuberculosis infections in future .	TB  drugs; 27.7% for anti-tuberculosis Drugs such as  isoniazid	 may_treat	yes
metastases	 capecitabine	 After twelve cycles of oxaliplatin-capecitabine chemotherapy, abdominopelvic computed tomography revealed marked shrinkage of the liver metastases and positron emission tomography showed no uptake of 18F-fluoro-deoxy-glucose (FDG) either in the liver or peritoneum except localized uptake in the sigmoid colon.	 capecitabine chemotherapy, abdominopelvic computed tomography revealed marked shrinkage of the liver metastases	 	no_rel
iron	 type 2 diabetes	 This was a prospective study of patients with type 2 diabetes and CKD stage IIIB or IV undergoing intravenous iron (group A) and/or ESA (group B).	 type 2 diabetes and CKD stage IIIB or IV undergoing intravenous iron	 	no_rel
antibodies	 H5N1	 By conjugating anti-H5N1 antibodies to the PS@PDAV via N -hydroxysuccinimide and 1-ethyl3-(3-dimethylaminopropyl) carbodiimide chemistry, a stable blue complex, anti-H5N1 microsphere (PS@PDAV-anti-H5N1) was formed.	antibodies  to the PS@PDAV via N -hydroxysuccinimide and 1-ethyl3-(3-dimethylaminopropyl) carbodiimide chemistry, a stable blue complex, anti- H5N1	 	no_rel
rise	 tumors	 The cancer stem cell theory suggests CSCs persist in tumors as a distinct population and cause relapse and metastasis by giving rise to new tumors.	rise  to new  tumors	 	no_rel
pain	 mitoxantrone	 The use (or abuse) of surrogate end points of quality of life has recently favoured some questionable decisions of the main regulator organs, such as the approval by the Food and Drugs Administration of the use of gemcitabine in advanced chemotherapy-naive pancreatic cancer, or mitoxantrone in the palliative treatment of hormone-resistant pancreatic cancer, based on the improvement in clinical benefit (a non-validated instrument to evaluate the outcome of palliative chemotherapy) besides a minimal and questionable overall survival, or pain control (evaluated with a non-validated instrument).	 mitoxantrone in the palliative treatment of hormone-resistant pancreatic cancer, based on the improvement in clinical benefit (a non-validated instrument to evaluate the outcome of palliative chemotherapy) besides a minimal and questionable overall survival, or pain	 may_treat	yes
H5N1	 Influenza viruses	 Influenza viruses, including highly pathogenic avian influenza virus (H5N1), could threaten blood safety.	 Influenza viruses  including highly pathogenic avian influenza virus (H5N1	 causative_agent_of	no
AIDS	 HIV	 Seven different types of evidence were examined (1) models of HIV prevalence and incidence in Kampala and other sentinel sites in Uganda; (2) reports of behaviour change in the primary newspaper in Uganda; (3) surveys with questions about perceptions of personal behaviour change; (4) large demographic and health surveys (DHS) collected in 1988/9 and 1995 and large Global Program on AIDS (GPA) surveys in 1989 and 1995 with questions about reported sexual behaviour; (5) smaller less representative surveys of reported sexual behaviour collected in other years; (6) reports of numbers of condoms shipped to Uganda; and (7) historical documents describing the implementation of HIV prevention programmes in Uganda.	 HIV revalence and incidence in Kampala and other sentinel sites in Uganda; (2) reports of behaviour change in the primary newspaper in Uganda; (3) surveys with questions about perceptions of personal behaviour change; (4) large demographic and health surveys (DHS) collected in 1988/9 and 1995 and large Global Program on AAIDS	 causative_agent_of	no
insulin	 type 1 diabetes	 To investigate if long-acting insulin analogs decrease the risk of diabetic ketoacidosis (DKA) in young individuals with type 1 diabetes.	insulin  analogs decrease the risk of diabetic ketoacidosis (DKA) in young individuals with  type 1 diabetes	 	no_rel
alcohol	 acute infection	 Significant association with acute infection was found for being male, drinking alcohol, and consuming shellfish while on board (odds ratio 4.27, 95% confidence interval 1.23–26.94, p = 0.019).	 acute infection was found for being male, drinking alcohol	 	no_rel
schizophrenia	 olanzapine	 The most significant studies published to date, on the use of olanzapine pamoate in schizophrenia, are reviewed in this article.	 olanzapine pamoate in schizophrenia	 may_treat	yes
pain	 metal	 The tissues from patients revised for suspected high wear had a lower ALVAL score, fewer lymphocytes, but more macrophages and metal particles than those tissues from hips revised for pain and suspected metal hypersensitivity.	pain  and suspected  metal	 	no_rel
HBV	 lamivudine	 Our results demonstrate that lamivudine should be considered preemptively before the chemotherapy for all HBsAg-positive NHL patients to prevent HBV reactivation, regardless of pre-chemotherapy HBeAg status.	 lamivudine should be considered preemptively before the chemotherapy for all HBsAg-positive NHL patients to prevent HBV	 may_prevent	yes
schizophrenia	 Aripiprazole	 Aripiprazole, a dopamine system stabilizer, shows efficacy against both negative symptoms and positive symptoms in patients with schizophrenia.	 Aripiprazole  a dopamine system stabilizer, shows efficacy against both negative symptoms and positive symptoms in patients with schizophrenia	 may_treat	yes
HAM	 HTLV-1	 To elucidate novel mechanisms contributing to the HTLV-1 neurological complex and its classic neurological presentation called HAM/TSP (HTLV-1 associated myelopathy/tropical spastic paraparesis), we investigated the expression of the Tim-3 receptor on CD8+ T cells from a cohort of HTLV-1 seropositive asymptomatic and symptomatic patients.	 HTLV-1 neurological complex and its classic neurological presentation called HAM	 causative_agent_of	no
bipolar affective disorder	 carbamazepine	 The case of an 18-year-old female suffering from bipolar affective disorder (mania) who was being treated with carbamazepine, lithium, chlorpromazine and benzhexol is presented.	bipolar affective disorder  (mania) who was being treated with  carbamazepine	 may_treat	yes
cross	 chemicals	 We conclude that the experience-dependent behavioral plasticity was partly based on the reduced sensitivity of taste receptor neurons and that the desensitization of taste receptor neurons contributed to the cross-habituation to the two chemicals.	cross -habituation to the two  chemicals	 	no_rel
cancer	 cisplatin	 We aim to study the modulation of this promoter by cisplatin using an improved fusion reporter in ovarian cancer cells and tumor xenografts by non-invasive imaging approach.	 cisplatin using an improved fusion reporter in ovarian cancer	 	no_rel
Tg	 Infarct	 Infarct volume was greater in TNFα-Tg rats than in non-Tg controls at 24 hours (p ≤ 0.05) and 7 days (p ≤ 0.01).	 Infarct volume was greater in TNFαTg	 	no_rel
mono	 nm	 Mechanistic studies showed that conjugates formed from the mono- and tri-cationic porphyrin and anti-CD104 antibody mediated apoptosis following irradiation with non-thermal red light of 630 ± 15 nm wavelength.	mono - and tri-cationic porphyrin and anti-CD104 antibody mediated apoptosis following irradiation with non-thermal red light of 630 ± 15 nm	 	no_rel
varicella	 VZV	 Frequency and intensity of intrathecal antibody production against EBV as compared to measles, rubella, varicella zoster (VZV) and herpes simplex virus (HSV) were analyzed by determination of virus-specific CSF-to-serum Antibody Indices (AI).	varicella  zoster ( VZV	 contraindicated_with_disease	no
CLL	 fludarabine	 Although fludarabine is the standard first line therapy to treat CLL, only few data are available about the resistance of B cells to this purine nucleoside analog in vivo .	 fludarabine is the standard first line therapy to treat CLL	 may_treat	yes
Zinc	 vomiting	 We found only 6 prescriptions having the recommended treatment that is ORS along with Zinc, with no additional probiotics, antibiotics, racecadotril or antiemetics (except Domperidone for vomiting).	Zinc , with no additional probiotics, antibiotics, racecadotril or antiemetics (except Domperidone for  vomiting	 	no_rel
HBV	 HBsAg	 At one year following transplantation, ALT was normal in 27 (77%) cases, HBV-DNA undetectable in 16 (45.7%), HBeAg and HBsAg seroconversion in 8 (22.8%), and 3 (8.6%) cases, respectively.	HBV -DNA undetectable in 16 (45.7%), HBeAg and  HBsAg	 may_prevent	yes
Buruli ulcer	 Mycobacterium ulcerans	 Mycobacterium ulcerans is the causative agent of Buruli ulcer (BU), a destructive skin disease found predominantly in sub-Saharan Africa and south-eastern Australia.	 Mycobacterium ulcerans is the causative agent of Buruli ulcer	 causative_agent_of	no
fatigue	 modafinil	 Methyl phenidate, megestrol, and modafinil are some drugs with promising effect to treat fatigue, though confirmatory studies are yet to be established.	 modafinil are some drugs with promising effect to treat fatigue	 may_treat	yes
TB	 rifampin	 Multidrug-resistant tuberculosis (MDR-TB), resistance to at least isoniazid and rifampin, is a worldwide problem.	TB ), resistance to at least isoniazid and  rifampin	 may_prevent	yes
HIV)	 human immunodeficiency virus	 Aged (>50 years old) human immunodeficiency virus (HIV) patients are the fastest-growing segment of the HIV-infected population in the USA and despite antiretroviral therapy, HIV-associated neurocognitive disorder (HAND) prevalence has increased or remained the same among this group.	 human immunodeficiency virus  HIV)	 causative_agent_of	no
AIDS	 HIV	 The questionnaire consisted of 24 questions regarding awareness of the modes of transmission of HIV/AIDS (nine questions) and questions to assess the attitude toward People Living With HIV/AIDS (PLWHA) (15 questions).	 HIV AIDS (nine questions) and questions to assess the attitude toward People Living With HIV/AIDS	 causative_agent_of	no
virus	 viruses	 Epidemiological surveys and laboratory experiments have demonstrated that the newly acquired virulence of several viruses belonging to the family Dicistroviridae (acute bee paralysis virus, Kashmir bee virus and Israeli acute paralysis virus) in Europe and the USA had been observed in relation with V. destructor acting as a disseminator of these viruses between and within bee colonies and as an activator of virus multiplication in the infected individuals bee larvae and adults.	 viruses belonging to the family Dicistroviridae (acute bee paralysis virus, Kashmir bee virus and Israeli acute paralysis virus) in Europe and the USA had been observed in relation with V. destructor acting as a disseminator of these viruses between and within bee colonies and as an activator of virus	 causative_agent_of	no
cancer	 platinum	 Our understanding of the treatment of ovarian cancer was revolutionized with the discovery of platinum- and taxane-based adjuvant chemotherapy regimens.	cancer  was revolutionized with the discovery of  platinum	 	no_rel
pneumonia	 vitamin E	 In the present study, we tested the uniformity of vitamin E effect on the risk of hospital-treated pneumonia (898 cases) by adding a dummy variable to allow each subgroup its own vitamin E effect in a Cox model covering all participants.	 vitamin E effect on the risk of hospital-treated pneumonia	 	no_rel
Vibrio cholerae	 vibrio cholera	 Non-vibrio cholera has been recognized as a clinical entity for as long as cholera was known to be caused by Vibrio cholerae .	 vibrio cholera has been recognized as a clinical entity for as long as cholera was known to be caused by Vibrio cholerae	 causative_agent_of	no
silicosis	 silica	 The latency period (the time between initial exposure and radiological imaging) and duration of silica exposure was longer in patients diagnosed with silicosis than in those without silicosis (p < 0.05).	 silica exposure was longer in patients diagnosed with silicosis than in those without silicosis	 causative_agent_of	no
B-cell lymphoma	 Rituximab	 Rituximab plus cyclophosphamide, doxorubicin, vincristine, and prednisone chemotherapy (R-CHOP) has improved survival in patients with diffuse large B-cell lymphoma (DLBCL) and weakened the prognostic power of the international prognostic index (IPI).	 Rituximab plus cyclophosphamide, doxorubicin, vincristine, and prednisone chemotherapy (R-CHOP) has improved survival in patients with diffuse large B-cell lymphoma	 may_treat	yes
ezetimibe	 obese	 We performed a 16-week intervention trial of a hypocaloric, low-fat diet plus 10 mg/day ezetimibe ( n = 15) versus a hypocaloric, low-fat diet alone ( n = 10) on intrahepatic triglyceride (IHTG) content, plasma high sensitivity–C-reactive protein (hs-CRP), adipocytokines, and fetuin-A concentrations and apolipoprotein (apo)B-100 kinetics in obese subjects.	ezetimibe  ( n = 15) versus a hypocaloric, low-fat diet alone ( n = 10) on intrahepatic triglyceride (IHTG) content, plasma high sensitivity–C-reactive protein (hs-CRP), adipocytokines, and fetuin-A concentrations and apolipoprotein (apo)B-100 kinetics i obese	 	no_rel
pain	 lidocaine	 The combination of remifentanil and lidocaine is effective in alleviating pain associated with a microemulsion propofol injection compared with just lidocaine.	 lidocaine is effective in alleviating pain	 may_prevent	yes
MRSA	 S. aureus	 When tested on 30 spiked blood specimens (21 MRSA, eight non- S. aureus and one negative control), the performance of LAMP and PCR was comparable 100% specific, 100% sensitive, 100% PPV, and 100% NPV.	MRSA , eight non-  S. aureus	 causative_agent_of	no
AIDS	 HIV	 Our results show that a TIP, engineered with properties based on a recent HIV gene-therapy trial, could stably lower HIV/AIDS prevalence by ∼30-fold within 50 years and could complement current therapies.	 HIV gene-therapy trial, could stably lower HIV/AIDS	 causative_agent_of	no
sugar	 nausea	 The ulcer improved only slightly after 2 months with povidone-iodine sugar ointment because of severe nausea and anorexia.	sugar  ointment because of severe  nausea	 	no_rel
insulin resistance	 glucose	 We hypothesized that murine Pparg-P465L mutation leads to covert insulin resistance, which is masked by hyperinsulinemia and increased pancreatic islet mass, to retain normal plasma glucose.	insulin resistance , which is masked by hyperinsulinemia and increased pancreatic islet mass, to retain normal plasma  glucose	 	no_rel
AIDS	 HIV	 The aim of this study was to examine the effect of a PEPFAR-funded HIV/AIDS program on six government-run general clinics in Kampala.	 HIV AIDS	 causative_agent_of	no
rheumatoid arthritis	 leflunomide	 Several new drugs for rheumatoid arthritis are available including leflunomide.	rheumatoid arthritis  are available including  leflunomide	 may_treat	yes
schizophrenia	 Clozapine	 Clozapine provides effective treatments for schizophrenia but its usage is limited because of life-threatening agranulocytosis.	 Clozapine provides effective treatments for schizophrenia	 may_treat	yes
type 1 diabetes	 insulin	 Reduction of dietary carbohydrates and corresponding insulin doses stabilizes and lowers mean blood glucose in individuals with type 1 diabetes within days.	 insulin doses stabilizes and lowers mean blood glucose in individuals with type 1 diabetes	 may_treat	yes
tetra	 di	 The crystal structure of the title compound, [ZnCl2(C10H8N2S)], consists of a six-membered chelate ring in which the Zn atom is approximately tetra­hedrally coordinated by two chloride ions and by the two pyridyl N atoms of a single di-2-pyridyl sulfide ligand.	tetra ­hedrally coordinated by two chloride ions and by the two pyridyl N atoms of a single di	 	no_rel
asthmatic	 budesonide	 NK-1R mRNA and protein expression in the budesonide treatment group rat’s lung and ASMCs were less than that in the asthmatic group but greater than that in the control group.	 budesonide treatment group rat’s lung and ASMCs were less than that in thasthmatic	 contraindicated_with_disease	no
obesity	 fat	 The induction of obesity, dyslipidemia, and insulin resistance by high-fat diet in rodents can be prevented by n-3 long-chain polyunsaturated fatty acids (LC-PUFAs).	obesity , dyslipidemia, and insulin resistance by high- fat	 	no_rel
type 2 diabetes	 metformin	 INCB13739 added to ongoing metformin therapy was efficacious and well tolerated in patients with type 2 diabetes who had inadequate glycemic control with metformin alone.	type 2 diabetes  who had inadequate glycemic control with  metformin	 may_treat	yes
AIDS	 HIV	 To report on the trend in all-cause mortality in a rural district of Malawi that has successfully scaled-up HIV/AIDS care including antiretroviral treatment (ART) to its population, through corroborative evidence from a) registered deaths at traditional authorities (TAs), b) coffin sales and c) church funerals.	 HIV AIDS	 causative_agent_of	no
dysmenorrhea	 ibuprofen	 The present study aimed to determine the effect of acupressure at the Sanyinjiao point (SP-6) on severity of menstrual symptoms (primary outcome) and the duration of resting time as well as the number of ibuprofen consumption (secondary outcome) in the two types of primary dysmenorrhea.	 ibuprofen consumption (secondary outcome) in the two types of primary dysmenorrhea	 may_treat	yes
cancer	 anticoagulants	 Studies to explore the effect of anticoagulants on cancer survival are underway in other malignancies such as lung, pancreas, ovary, breast, and stomach cancer.	 anticoagulants on cancer survival are underway in other malignancies such as lung, pancreas, ovary, breast, and stomach cancer	 	no_rel
cancer	 tyrosine	 Lapatinib is a small-molecule tyrosine kinase inhibitor that blocks phosphorylation of the epidermal growth factor receptor and HER2 in breast cancer cells, resulting in apoptosis.	 tyrosine kinase inhibitor that blocks phosphorylation of the epidermal growth factor receptor and HER2 in breast cancer	 	no_rel
HSV	 aciclovir	 We examined correlates of genital HIV-1 RNA in women who were seropositive for both herpes simplex virus (HSV)-2 and HIV-1 and who were enrolled in a randomised controlled trial of HSV suppressive therapy (aciclovir 400 mg b.i.d vs. placebo) in Tanzania.	HSV )-2 and HIV-1 and who were enrolled in a randomised controlled trial of HSV suppressive therapy ( aciclovir	 may_prevent	yes
virus	 viruses	 Phylogenetic analysis of partial sequences of rubella viruses has contributed to virus surveillance efforts and played an important role in demonstrating that indigenous rubella viruses have been eliminated in the United States.	 viruses has contributed to virus	 causative_agent_of	no
pain	 ketamine	 The goal of the study was to investigate the regıonal ıntravenous anesthesıa procedure in knee arthroscopy and to evaluate the effects of adding ketamine over the anesthesia block charactery and tourniquet pain.	 ketamine ne over the anesthesia block charactery and tourniqupain	 may_treat	yes
Alcohol Dependence	 Alcohol	 Severity of AWS was evaluated by the Clinical Institute Withdrawal Assessment of Alcohol Scale (CIWA-Ar) and that of alcohol dependence and craving by the Obsessive Compulsive Drinking Scale [OCDS] and the Severity of Alcohol Dependence Data (SADD) questionnaire.	 Alcohol Scale (CIWA-Ar) and that of alcohol dependence and craving by the Obsessive Compulsive Drinking Scale [OCDS] and the Severity of Alcohol Dependence	 causative_agent_of	no
formalin	 Harada	 Faecal samples were collected and examined by using formalin-ether sedimentation, Kato Katz and Harada Mori techniques.	formalin -ether sedimentation, Kato Katz and  Harada	 	no_rel
HBV	 HBsAg	 However, the serological and molecular expression of HBV infection differed in the two groups The group of patients included more individuals with ongoing HBV infection, as defined by the presence of detectable HBsAg and or HBV DNA (17% and 12%, respectively).	HBV  infection differed in the two groups The group of patients included more individuals with ongoing HBV infection, as defined by the presence of detectable H HBsAg	 may_prevent	yes
epilepsy	 Lamotrigine	 Lamotrigine (LTG) is a broad spectrum AED with efficacy in partial and generalized epilepsy syndromes and good tolerability.	 Lamotrigine (LTG) is a broad spectrum AED with efficacy in partial and generalized epilepsy	 may_treat	yes
alcohol	 psychosis	 This report discusses a case of acute psychosis and enuresis in a patient on disulfiram who had ingested alcohol.	 psychosis and enuresis in a patient on disulfiram who had ingested alcohol	 	no_rel
FIV infection	 FIV	 The effects of anti-CD25 mAb treatment are truncated in cats acutely infected with FIV-C36 as compared to chronically infected cats or FIV-naïve cats, as Treg cell levels were heightened in all treatment groups included in the study within two weeks post-FIV infection.	 FIV C36 as compared to chronically infected cats or FIV-naïve cats, as Treg cell levels were heightened in all treatment groups included in the study within two weeks postFIV infection	 causative_agent_of	no
virus	 aspirin	 Although the mechanism of virus-induced, aspirin-exacerbated respiratory disease (AERD) is not known fully, direct activation of viral components through Toll-like receptor 3 (TLR3) has been suggested.	virus -induced,  aspirin	 contraindicated_with_disease	no
nephropathy	 Calcineurin inhibitor	 Calcineurin inhibitor (CNI) toxicity contributes to chronic allograft nephropathy (CAN).	 Calcineurin inhibitor (CNI) toxicity contributes to chronic allograft nephropathy	 	no_rel
cancers	 chemotherapeutic agents	 The activity of dihydropyrimidine dehydrogenase (DPD), the key enzyme of pyrimidine catabolism, is thought to be an important determinant for the occurrence of severe toxic reactions to 5-fluorouracil (5-FU), which is one of the most commonly prescribed chemotherapeutic agents for the treatment of solid cancers.	 chemotherapeutic agents for the treatment of solid cancers	 	no_rel
AIDS	 HIV	 ART centre at St. John's Medical College Hospital, Bangalore and Snehadan, A supportive and care centre for HIV/ AIDS patients at Bangalore.	 HIV  AIDS	 causative_agent_of	no
myeloma	 bortezomib	 Our systematic profiling of phosphorylation changes in response to bortezomib treatment not only advanced the global mechanistic understanding of the action of bortezomib on myeloma cells but also identified previously uncharacterized signaling proteins in myeloma cells.	 bortezomib on myeloma cells but also identified previously uncharacterized signaling proteins in myeloma	 may_treat	yes
TB	 BCG	 Vaccination by BCG prime with IgHSP65+murine IL-12/HVJ-envelope boost resulted in significant protective efficacy (>10, 000-fold versus BCG alone) against TB infection in the lungs of mice.	 BCG G alone) againsTB	 may_prevent	yes
lipids	 insulin resistance	 This study examined the effect of chronic consumption of the viscous, non-fermentable dietary fiber, hydroxypropyl methylcellulose (HPMC), on glucose control, insulin resistance and liver lipids in an obese diabetic rat model.	 insulin resistance and liver lipids	 	no_rel
adiposity	 glucose	 Its findings may contribute in the identification of higher risk individuals for diabetes and cardiovascular disease with a better comprehension about the complex intercorrelation between adiposity, glucose metabolism and vascular disease.	adiposity ,  glucose	 	no_rel
ziprasidone	 schizophrenia	 The analysis included three randomized, double-blind studies in patients with schizophrenia, schizoaffective disorder, or schizophreniform disorder diagnosed according to the Diagnostic and Statistical Manual of Mental Disorders 4th Edition and randomly assigned to treatment with olanzapine 5–20 mg/day or another antipsychotic (haloperidol 2–20 mg/day, risperidone 2–10 mg/day, or ziprasidone 80–160 mg/day).	 schizophrenia  schizoaffective disorder, or schizophreniform disorder diagnosed according to the Diagnostic and Statistical Manual of Mental Disorders 4th Edition and randomly assigned to treatment with olanzapine 5–20 mg/day or another antipsychotic (haloperidol 2–20 mg/day, risperidone 2–10 mg/daziprasidone	 	no_rel
AIDS	 HIV	 The Fellowship Program offers a unique opportunity for hands-on training in HIV/AIDS program leadership and management for both Fellows and host institutions.	 HIV AIDS	 causative_agent_of	no
cancer	 hepatitis B virus surface antigen	 Seropositivity for hepatitis B virus surface antigen was not significantly related to pancreatic cancer, either in univariate (odds ratio 1.03; 95% CI, 0.69-1.53; P = 0.91) or multivariate analysis (AOR, 1.02; 95% CI, 0.67-1.56; P = 0.93).	 hepatitis B virus surface antigen was not significantly related to pancreatic cancer	 	no_rel
syphilis	 bacterium	 Venereal syphilis is a multi-stage, sexually transmitted disease caused by the spirochetal bacterium Treponema pallidum (Tp) .	syphilis  is a multi-stage, sexually transmitted disease caused by the spirochetal  bacterium	 causative_agent_of	no
IFN	 OAS	 Over-expression of SOCS proteins in melanoma cell lines led to significant inhibition of Tyr701-phosphorylated STAT1 (P-STAT1) and gene expression following stimulation with IFN-α (IFIT2, OAS-1, ISG-15) or IFN-γ (IRF1).	IFN -α (IFIT2, OAS	 	no_rel
Tourette's disorder	 haloperidol	 Treatment with haloperidol led to improvement in the characteristic tics of Tourette's disorder as well as to improvement in these three complex-associated behaviors.	 haloperidol led to improvement in the characteristic tics of Tourette's disorder	 may_treat	yes
pain	 metal	 The tissues from patients revised for suspected high wear had a lower ALVAL score, fewer lymphocytes, but more macrophages and metal particles than those tissues from hips revised for pain and suspected metal hypersensitivity.	 metal particles than those tissues from hips revised for pain	 	no_rel
chicken pox	 VZV	 The global profiling of the VZV genome gives further insights into the replication and pathogenesis of this virus, which can lead to improved prevention and therapy of chicken pox and shingles.	 VZV genome gives further insights into the replication and pathogenesis of this virus, which can lead to improved prevention and therapy of chicken pox	 contraindicated_with_disease	no
tannin	 rheumatoid arthritis	 These data may, in part, be able to explain the traditional use of tannin-containing medicinal plants for the treatment of a variety of inflammatory diseases, including inflammatory bowel disease, celiac disease, and rheumatoid arthritis.	tannin -containing medicinal plants for the treatment of a variety of inflammatory diseases, including inflammatory bowel disease, celiac disease, and  rheumatoid arthritis	 	no_rel
n-3 fatty acids	 FA	 While the high-fat diet (HFD) contained equivalent levels of n-3 fatty acids (FA's) and higher levels of n-6 FA's than the control diet (CTR), we found significant decreases in docosahexaenoic acid (DHA) and total n-3 FA's in HFD maternal and fetal plasma.	n-3 fatty acids  (FA's) and higher levels of n-6  FA	 	no_rel
bleeding	 Vitamin K	 Vitamin K administration is the mainstay of therapy in VKCFD, with plasma supplementation during surgery or severe bleeding episodes.	 Vitamin K administration is the mainstay of therapy in VKCFD, with plasma supplementation during surgery or severe bleeding	 	no_rel
necrotizing fasciitis	 group A streptococcus	 We describe a case of group A streptococcus necrotizing fasciitis following saphenofemoral junction ligation and vein stripping.	 group A streptococcus necrotizing fasciitis	 causative_agent_of	no
AIDS	 HIV	 The two most consistent factors associated with HIV testing across the countries were having heard about HIV/AIDS from a clinic or health centre, and having talked to someone about HIV and AIDS.	 HIV and AIDS	 causative_agent_of	no
hypertension	 furosemide	 On admission, he developed pulmonary oedema from systolic hypertension which was controlled by ventilatory support, nitroglycerine and furosemide.	hypertension  which was controlled by ventilatory support, nitroglycerine and  furosemide	 may_treat	yes
Celiac disease	 gluten	 Celiac disease (CD) is an autoimmune enteropathy triggered by the ingestion of gluten.	Celiac disease  (CD) is an autoimmune enteropathy triggered by the ingestion of  gluten	 causative_agent_of	no
thromboembolism	 warfarin	 Emergency department (ED) patients with venous thromboembolism (VTE) are eventually treated with a standard dose of warfarin despite the fact that a number of patients are known to be sensitive to warfarin and may experience supra-therapeutic INRs and adverse bleeding events.	thromboembolism  (VTE) are eventually treated with a standard dose of warfarin despite the fact that a number of patients are known to be sensitive to  warfarin	 may_prevent	yes
AIDS	 HIV	 This study was conducted to determine the prevalence of intestinal parasitosis in HIV/AIDS patients in Dschang -Cameroon.	 HIV AIDS	 causative_agent_of	no
